product_id,product_name,category,price,cost,stock_quantity,supplier,is_available,profit_margin
1,Fully-configurable tangible standardization,Electronics,697.32,687.64,328,Sarkuysan,True,1.39
2,Compatible demand-driven circuit,Sports,859.39,1084.66,56,Kısakürek Tic.,True,-26.21
3,Fundamental intermediate hardware,Books,736.31,125.37,319,Tiryaki Agro Gıda,True,82.97
4,Right-sized stable product,Home & Garden,823.13,966.98,207,Ergül Öcalan San.,True,-17.48
5,Profit-focused homogeneous implementation,Sports,525.79,1382.67,432,Öcalan Ertaş San.,True,-162.97
6,Seamless demand-driven capacity,Home & Garden,1400.22,453.45,307,Türk Tevetoğlu Şti.,True,67.62
7,Polarized web-enabled monitoring,Clothing,1518.78,870.82,62,Tepe İnşaat,True,42.66
8,Universal empowering benchmark,Home & Garden,1647.99,1410.63,247,Fırat Akdeniz Ltd.,False,14.4
9,Pre-emptive stable neural-net,Books,689.17,1080.39,465,Arslan Tic.,True,-56.77
10,Exclusive systemic methodology,Books,1531.61,98.18,140,Yıldırım Şti.,False,93.59
11,Open-source global open system,Books,1278.97,571.21,92,Aselsan,True,55.34
12,Compatible global database,Clothing,1916.25,133.23,106,Aksu Tic.,True,93.05
13,Progressive client-driven analyzer,Sports,855.32,1292.67,364,Tarhan San.,True,-51.13
14,Cross-platform bandwidth-monitored time-frame,Clothing,1984.7,934.39,87,Aksa Akrilik,True,52.92
15,Grass-roots static algorithm,Books,1483.38,1434.79,300,Akar Öcalan San.,False,3.28
16,Networked heuristic complexity,Books,1554.79,34.54,107,JTI Tütün Ürünleri Pazarlama,False,97.78
17,Total interactive infrastructure,Toys,61.15,637.52,45,Şişecam,True,-942.55
18,Implemented contextually-based Internet solution,Clothing,999.82,161.02,76,Karadeniz A.Ş.,True,83.9
19,Organic directional hub,Home & Garden,1061.39,528.98,216,Türk Telekom,False,50.16
20,Cloned client-server matrix,Electronics,90.79,247.02,168,Yüksel Mansız A.Ş.,False,-172.08
21,Enterprise-wide even-keeled functionalities,Electronics,631.14,496.55,301,Yıldırım Arsoy Tic.,True,21.32
22,Monitored directional workforce,Clothing,1911.73,1229.8,128,Ülker Yüksel San.,False,35.67
23,Fully-configurable mobile hierarchy,Books,857.96,245.25,200,İnönü A.Ş.,True,71.41
24,Synergistic hybrid functionalities,Home & Garden,381.54,713.13,195,Soylu Çetin Şti.,False,-86.91
25,Versatile human-resource pricing structure,Home & Garden,1031.54,1382.77,347,Çorlu Tic.,True,-34.05
26,Phased incremental firmware,Books,77.19,1498.18,267,Korutürk A.Ş.,True,-1840.9
27,Progressive leadingedge migration,Electronics,1036.82,379.71,87,Erdoğan San.,True,63.38
28,Implemented optimizing interface,Toys,1192.59,1403.67,252,Enerjisa Enerji,False,-17.7
29,Diverse composite focus group,Home & Garden,721.81,395.78,237,Yılmaz Yıldırım Şti.,True,45.17
30,Re-engineered executive strategy,Clothing,1527.53,623.23,72,Yaman San.,False,59.2
31,Multi-layered bottom-line adapter,Sports,280.07,1317.5,418,Durmuş Durdu Ltd.,True,-370.42
32,Integrated incremental product,Books,1757.58,1180.33,357,Coca-Cola İçecek,False,32.84
33,Devolved foreground ability,Books,1911.34,1286.94,354,Çamurcuoğlu Şama Şti.,True,32.67
34,Open-source optimal capacity,Electronics,12.46,1201.38,160,Bilge Durmuş Ltd.,True,-9541.89
35,Re-contextualized intangible Graphic Interface,Toys,1687.02,356.42,57,Hayrioğlu Tic.,False,78.87
36,Networked national groupware,Electronics,1017.15,840.4,383,Kardemir,True,17.38
37,Customizable client-server service-desk,Home & Garden,928.2,580.95,372,Selçuk Ecza,True,37.41
38,Business-focused intangible throughput,Clothing,484.97,692.27,290,Soylu Akçay A.Ş.,False,-42.74
39,De-engineered web-enabled knowledge user,Books,900.18,235.16,429,Şişecam,True,73.88
40,Operative transitional methodology,Sports,1901.35,477.07,339,Arslan Şti.,False,74.91
41,Enhanced radical emulation,Toys,429.47,1287.18,65,Güçlü Durdu A.Ş.,True,-199.71
42,User-centric foreground standardization,Clothing,366.29,1346.85,427,Kısakürek Yüksel Şti.,False,-267.7
43,Ameliorated reciprocal intranet,Books,491.37,917.18,25,Şener Kısakürek Tic.,True,-86.66
44,Reduced zero-defect data-warehouse,Clothing,1108.15,749.91,297,Hyundai Assan Otomotiv,True,32.33
45,Function-based systemic flexibility,Home & Garden,1861.3,1070.7,76,Yıldırım Ltd.,False,42.48
46,Devolved asynchronous capacity,Home & Garden,1152.02,915.24,285,Akça San.,True,20.55
47,Re-engineered bifurcated framework,Toys,494.53,1475.59,371,Anadolu Efes Biracılık,True,-198.38
48,Optional zero tolerance protocol,Sports,886.5,289.18,415,Tekfen İnşaat,False,67.38
49,Multi-layered 24hour contingency,Clothing,786.9,676.32,35,Arsoy Manço Şti.,True,14.05
50,Digitized zero tolerance customer loyalty,Toys,102.67,1377.77,18,Hançer San.,True,-1241.94
51,Implemented modular Local Area Network,Clothing,1026.18,1372.53,277,Hayat Kimya,True,-33.75
52,Reactive system-worthy standardization,Electronics,260.75,745.54,320,Akdeniz Akgündüz Şti.,False,-185.92
53,Synchronized upward-trending standardization,Books,1686.07,206.54,312,Gül San.,False,87.75
54,Adaptive executive hardware,Books,1102.44,1223.36,266,Doğuş Otomotiv,False,-10.97
55,Proactive uniform open system,Home & Garden,1690.77,879.82,281,Yılmaz Türk A.Ş.,True,47.96
56,Persistent client-driven hub,Sports,1912.53,1160.88,431,Kastamonu Entegre,True,39.3
57,Customizable multi-state frame,Electronics,1886.94,696.47,18,Netlog Lojistik Hizmetleri,True,63.09
58,Total solution-oriented application,Books,209.85,309.81,338,Yıldırım Şti.,False,-47.63
59,Persevering 4thgeneration database,Books,1890.19,40.86,139,Ülker Yorulmaz A.Ş.,False,97.84
60,Focused solution-oriented pricing structure,Electronics,1593.54,840.91,66,Ülker Korutürk San.,False,47.23
61,Progressive client-driven array,Home & Garden,1557.54,245.76,311,Hayrioğlu A.Ş.,False,84.22
62,Implemented local open architecture,Electronics,189.36,284.77,17,Opet Petrolcülük,True,-50.39
63,Synergized client-server time-frame,Toys,367.23,657.28,368,Limak Yatırım,False,-78.98
64,Fully-configurable content-based intranet,Toys,1950.58,665.91,260,Bilir Alemdar Ltd.,True,65.86
65,Stand-alone upward-trending collaboration,Sports,434.61,415.21,111,Akgündüz Demir San.,False,4.46
66,Team-oriented analyzing open system,Clothing,346.42,202.22,407,JTI Tütün Ürünleri Pazarlama,False,41.63
